,PC1,PC2,ss
150,-0.16733512,0.5222101,10
151,0.5289614,-1.2010484,10
152,-0.09647617,-1.092735,10
153,0.21578531,-1.0950532,10
154,0.60384446,-0.3626836,10
155,-0.22221205,-0.0053730607,10
156,-0.26868537,0.3114273,10
157,-0.30903617,-0.1811983,10
158,-0.5623361,-0.15277982,10
159,-0.7625706,-0.3776282,10
160,-0.019128978,0.24135205,10
161,-0.0074896514,-0.5809013,10
162,-0.033516377,0.33421868,10
163,0.41670144,-0.17836207,10
164,-1.1952437,0.39890754,10
165,0.2454567,-0.07159704,10
166,0.1344703,0.2282469,10
167,0.021236628,-0.23179775,10
168,0.65847266,-0.20206833,10
169,0.42942894,0.03703648,10
170,0.92530966,0.059678078,10
171,0.5740719,0.32705078,10
172,0.37240434,0.22154933,10
173,0.3045508,0.7421189,10
174,0.27285302,-0.3328603,10
175,-0.13118517,-0.4444633,10
176,-0.16426608,-0.42930913,10
177,1.0302305,0.07445198,10
178,0.53625715,-0.14519393,10
179,-0.11723328,-0.5936213,10
180,0.9579166,0.44955856,10
181,0.13874498,0.5326321,10
182,-0.52692604,-0.82333726,10
183,0.51723266,0.5436301,10
184,-0.022197872,0.24332723,10
185,0.52362645,-0.6333361,10
186,0.18122102,-0.3080126,10
187,0.054607183,0.16301265,10
188,-0.7935786,-0.22438651,10
189,1.2196591,-0.6244356,10
190,1.0711668,-0.35436994,10
191,0.8190259,0.46875957,10
192,-0.89867544,-0.55641407,10
193,-0.13866666,0.043195635,10
194,-0.93237257,0.047980994,10
195,-0.3338084,0.2621665,10
196,0.68182737,0.3483925,10
197,-0.36563227,0.009155452,10
198,0.3377769,0.2664905,10
199,0.38182583,0.22127455,10
200,0.3539861,-0.36082488,10
201,0.06703703,0.3656777,10
202,0.05261442,-0.8933217,10
203,-0.018713117,-0.13418716,10
204,-0.4137564,-0.31840867,10
205,-0.4844739,0.066673756,10
206,-0.38233677,0.19948658,10
207,1.0024656,-0.47165495,10
208,0.11105952,0.24023244,10
209,0.031477034,-0.17747384,10
210,0.27953517,0.35139793,10
211,-0.27202228,-0.10564011,10
212,0.40400994,-0.61392087,10
213,-0.26317862,-0.2665469,10
214,0.4898126,-0.32006764,10
215,-0.14789322,0.26804492,10
216,-0.6865791,0.29481143,10
217,0.8893286,0.30200732,10
218,1.0288358,-0.20643461,10
219,0.24813107,-0.7595796,10
220,0.4555718,0.061964035,10
221,-0.13873181,-0.85149413,10
222,0.021676064,-0.47425908,10
223,0.41846707,0.14616409,10
224,0.2892055,0.4308396,10
225,0.5755198,-1.2470703,10
226,0.9100734,0.44458902,10
227,0.45902732,-0.65750355,10
228,0.9533119,0.41949034,10
229,0.25809819,0.785162,10
230,0.49408895,-1.0487049,10
231,0.13618952,-0.7430455,10
232,-0.4786205,0.124169976,10
233,0.71158886,-0.5176315,10
234,0.13668269,0.19690216,10
235,-0.20385835,-0.31429666,10
236,-0.6868409,0.270975,10
237,0.17485929,-0.068089664,10
238,-0.44895545,0.3464799,10
239,0.8125118,0.35986716,10
240,0.4983911,-0.92311496,10
241,0.5929841,-0.46567446,10
242,0.5739182,-0.29400104,10
243,0.7903739,1.0453799,10
244,-0.26919964,0.32056075,10
245,0.65049005,-0.4153732,10
246,-0.3737556,-0.74933213,10
247,-0.29638913,0.018938541,10
248,0.9333612,-0.16835451,10
249,-0.79058087,0.29224247,10
250,0.7360447,0.5713637,10
251,0.31310275,0.9342768,10
252,-0.14139464,-0.46415,10
253,0.26194,-0.24890172,10
254,0.32012528,-0.39952624,10
255,-0.5923927,0.5565056,10
256,0.13030404,-0.93903404,10
257,-0.042327195,0.29023188,10
258,-0.48709098,-0.024777174,10
259,0.6837509,-0.570744,10
260,0.7304425,-0.39465922,10
261,-0.69281054,0.69330615,10
262,0.07041465,-0.46324605,10
263,0.7830254,-0.70498055,10
264,0.26487643,0.60309696,10
265,0.5658946,0.112855285,10
266,0.018356174,-0.46922678,10
267,1.2930573,0.56657356,10
268,-0.9228163,-0.07868117,10
269,0.09203252,0.31985363,10
270,0.66549563,0.117290765,10
271,0.35444325,0.32164955,10
272,0.29969165,0.18166143,10
273,-0.07405868,-0.6813764,10
274,-0.25278464,0.53763056,10
275,-0.07845357,0.28919774,10
276,0.49953192,0.23075971,10
277,0.08391707,0.5495718,10
278,1.076424,0.20044768,10
279,0.46846014,-0.7654037,10
280,-0.15428218,0.02862513,10
281,0.43705663,-0.3351797,10
282,-1.3017921,0.2550534,10
283,0.6276051,0.021965683,10
284,-0.3009667,0.16028982,10
285,1.0186387,0.29840928,10
286,-0.83492184,-0.60824233,10
287,-0.6205627,0.6852585,10
288,0.8003746,-0.123711765,10
289,0.24555874,0.25429583,10
290,-0.22284439,0.6732853,10
291,0.7471438,-0.331847,10
292,0.83855224,0.19756666,10
293,0.35156155,-0.18504608,10
294,0.7942748,0.33506563,10
295,-0.6723187,-0.19315064,10
296,-0.7526822,0.21243966,10
297,0.6827326,0.09130955,10
298,-0.5401634,-0.4215049,10
299,-0.52249026,0.35594684,10
300,1.0125343,0.52615243,10
301,-0.26119384,0.83589584,10
